"","score","asfeeling"
"698",75,"Lightly Favorable"
"699",99,"Strongly Favorable"
"700",40,"Unfavorable"
"701",89,"Strongly Favorable"
"702",98,"Strongly Favorable"
"703",80,"Strongly Favorable"
"704",71,"Lightly Favorable"
"705",66,"Lightly Favorable"
"706",65,"Lightly Favorable"
"707",100,"Strongly Favorable"
"708",73,"Lightly Favorable"
"709",35,"Unfavorable"
"710",50,"Unfavorable"
"711",91,"Strongly Favorable"
"712",52,"Lightly Favorable"
"713",50,"Unfavorable"
"714",80,"Strongly Favorable"
"715",75,"Lightly Favorable"
"716",90,"Strongly Favorable"
"717",95,"Strongly Favorable"
"718",76,"Strongly Favorable"
"719",50,"Unfavorable"
"720",21,"Strongly unfavorable"
"721",60,"Lightly Favorable"
"722",89,"Strongly Favorable"
"723",100,"Strongly Favorable"
"724",74,"Lightly Favorable"
"725",60,"Lightly Favorable"
"726",95,"Strongly Favorable"
"727",73,"Lightly Favorable"
"728",96,"Strongly Favorable"
"729",100,"Strongly Favorable"
"730",20,"Strongly unfavorable"
"731",50,"Unfavorable"
"732",94,"Strongly Favorable"
"733",57,"Lightly Favorable"
"734",100,"Strongly Favorable"
"735",100,"Strongly Favorable"
"736",91,"Strongly Favorable"
"737",97,"Strongly Favorable"
"738",50,"Unfavorable"
"739",39,"Unfavorable"
"740",90,"Strongly Favorable"
"741",64,"Lightly Favorable"
"742",95,"Strongly Favorable"
"743",50,"Unfavorable"
"744",85,"Strongly Favorable"
"745",60,"Lightly Favorable"
"746",86,"Strongly Favorable"
"747",68,"Lightly Favorable"
"748",80,"Strongly Favorable"
"749",81,"Strongly Favorable"
"750",50,"Unfavorable"
"751",90,"Strongly Favorable"
"752",90,"Strongly Favorable"
"753",71,"Lightly Favorable"
"754",99,"Strongly Favorable"
"755",76,"Strongly Favorable"
"756",94,"Strongly Favorable"
"757",0,"Strongly unfavorable"
"758",50,"Unfavorable"
"759",6,"Strongly unfavorable"
"760",90,"Strongly Favorable"
"761",40,"Unfavorable"
"762",50,"Unfavorable"
"763",29,"Unfavorable"
"764",40,"Unfavorable"
"765",36,"Unfavorable"
"766",51,"Lightly Favorable"
"767",83,"Strongly Favorable"
"768",49,"Unfavorable"
"769",93,"Strongly Favorable"
"770",84,"Strongly Favorable"
"771",83,"Strongly Favorable"
"772",50,"Unfavorable"
"773",53,"Lightly Favorable"
"774",87,"Strongly Favorable"
"775",96,"Strongly Favorable"
"776",79,"Strongly Favorable"
"777",97,"Strongly Favorable"
"778",80,"Strongly Favorable"
"779",51,"Lightly Favorable"
"780",50,"Unfavorable"
"781",28,"Unfavorable"
"782",79,"Strongly Favorable"
"783",99,"Strongly Favorable"
"784",50,"Unfavorable"
"785",91,"Strongly Favorable"
"786",53,"Lightly Favorable"
"787",88,"Strongly Favorable"
"788",94,"Strongly Favorable"
"789",51,"Lightly Favorable"
"790",81,"Strongly Favorable"
"791",78,"Strongly Favorable"
"792",92,"Strongly Favorable"
"793",60,"Lightly Favorable"
"794",66,"Lightly Favorable"
"795",90,"Strongly Favorable"
"796",100,"Strongly Favorable"
"797",90,"Strongly Favorable"
"798",50,"Unfavorable"
"799",77,"Strongly Favorable"
"800",44,"Unfavorable"
"801",100,"Strongly Favorable"
"802",50,"Unfavorable"
"803",98,"Strongly Favorable"
"804",100,"Strongly Favorable"
"805",91,"Strongly Favorable"
"806",50,"Unfavorable"
"807",100,"Strongly Favorable"
"808",46,"Unfavorable"
"809",81,"Strongly Favorable"
"810",81,"Strongly Favorable"
"811",66,"Lightly Favorable"
"812",76,"Strongly Favorable"
"813",55,"Lightly Favorable"
"814",100,"Strongly Favorable"
"815",50,"Unfavorable"
"816",78,"Strongly Favorable"
"817",100,"Strongly Favorable"
"818",77,"Strongly Favorable"
"819",74,"Lightly Favorable"
"820",75,"Lightly Favorable"
"821",83,"Strongly Favorable"
"822",90,"Strongly Favorable"
"823",50,"Unfavorable"
